지점,년도,복숭아_발아,복숭아_발아(평비),복숭아_개화,복숭아_개화(평비),복숭아_만발,복숭아_만발(평비),개화,만발,연도,차이
울릉도,2018,2018-03-27,-3일,2018-04-08,-4일,2018-04-11,,2018-04-08,2018-04-11 0:00,2018,3
울릉도,2019,2019-02-20,-38일,2019-03-18,-25일,2019-03-25,,2019-03-18,2019-03-25 0:00,2019,7
울릉도,2020,2020-03-22,-8일,2020-03-25,-18일,2020-03-31,,2020-03-25,2020-03-31 0:00,2020,6
울릉도,2021,2021-03-22,-8일,2021-03-25,-18일,2021-03-29,,2021-03-25,2021-03-29 0:00,2021,4
울릉도,2022,2022-03-28,-2일,2022-04-08,-4일,2022-04-18,,2022-04-08,2022-04-18 0:00,2022,10
울릉도,2023,2023-03-27,-3일,2023-04-05,-7일,2023-04-10,,2023-04-05,2023-04-10 0:00,2023,5
울릉도,2024,2024-04-08,9일,2024-04-14,2일,2024-04-17,,2024-04-14,2024-04-17 0:00,2024,3
포항,2015,2015-03-13,-3일,2015-03-28,1일,2015-04-07,-2일,2015-03-28,2015-04-07 0:00,2015,10
포항,2016,2016-03-22,6일,2016-03-31,4일,2016-04-02,-7일,2016-03-31,2016-04-02 0:00,2016,2
포항,2017,2017-03-16,0일,2017-03-29,2일,2017-04-07,-2일,2017-03-29,2017-04-07 0:00,2017,9
포항,2018,2018-03-10,-6일,2018-03-14,-13일,2018-04-04,-5일,2018-03-14,2018-04-04 0:00,2018,21
포항,2019,2019-03-16,0일,2019-03-28,1일,2019-04-03,-6일,2019-03-28,2019-04-03 0:00,2019,6
포항,2020,2020-03-15,-1일,2020-03-23,-4일,2020-03-25,-15일,2020-03-23,2020-03-25 0:00,2020,2
포항,2021,2021-03-11,-5일,2021-03-23,-4일,2021-03-25,-15일,2021-03-23,2021-03-25 0:00,2021,2
포항,2022,2022-02-03,-41일,2022-02-09,-46일,2022-03-14,-26일,2022-02-09,2022-03-14 0:00,2022,33
포항,2023,2023-02-03,-41일,2023-03-10,-17일,2023-03-22,-18일,2023-03-10,2023-03-22 0:00,2023,12
포항,2024,2024-03-14,-2일,2024-04-01,5일,2024-04-04,-5일,2024-04-01,2024-04-04 0:00,2024,3
광주,2015,2015-03-14,-4일,2015-03-30,-2일,2015-04-03,-3일,2015-03-30,2015-04-03 0:00,2015,4
광주,2016,2016-03-13,-5일,2016-03-31,-1일,2016-04-05,-1일,2016-03-31,2016-04-05 0:00,2016,5
