지점,지점명,일시,평균기온(°C),평균최고기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,Jan-15,1.8,5.6,8.7,185.6,
90,속초,Feb-15,2.4,6.1,32.1,189.3,
90,속초,Mar-15,6.6,11.5,8,275.9,
90,속초,Apr-15,11.1,15.1,74.2,185.4,
90,속초,May-15,17.8,22.9,9.2,298.6,
90,속초,Jun-15,19.5,23.2,127.7,191,
90,속초,Jul-15,22.7,26.1,163.1,171.2,
90,속초,Aug-15,24.2,28,198.6,193.5,
90,속초,Sep-15,19.1,23.1,13.5,219,
90,속초,Oct-15,14.7,19.3,27.4,240.6,
90,속초,Nov-15,8.4,11.5,463.5,98.6,
90,속초,Dec-15,3,6.8,1.7,164.9,
90,속초,Jan-16,-1.2,2.7,6.6,191.1,
90,속초,Feb-16,0.8,4.3,38.3,197.6,
90,속초,Mar-16,7,11.4,31.8,209.6,
90,속초,Apr-16,12.6,17.8,77.5,222.9,
90,속초,May-16,17.2,22.6,35.7,261.1,
90,속초,Jun-16,20.6,24.3,62.2,175.3,
90,속초,Jul-16,22.9,25.8,477.8,119.2,
90,속초,Aug-16,25.5,29.3,186.9,220.7,
90,속초,Sep-16,20.4,23.6,126,130,
90,속초,Oct-16,15.3,19,128.5,140.8,
90,속초,Nov-16,8.4,12.6,40.8,172.2,
90,속초,Dec-16,4.4,8.4,121.7,164.8,
90,속초,Jan-17,0.8,5,82.4,215.4,
90,속초,Feb-17,3,7.5,3.2,222.2,
90,속초,Mar-17,7,11.4,48.7,199.8,
90,속초,Apr-17,14.8,20.1,46.8,255.2,
90,속초,May-17,18.7,23.8,25.2,272.3,
90,속초,Jun-17,19.8,23.8,69.7,204.7,
90,속초,Jul-17,25.6,29.1,270.3,165.4,
90,속초,Aug-17,23.7,26.7,424.9,107.2,
90,속초,Sep-17,20.8,25.1,50.5,249.2,
90,속초,Oct-17,14.5,18.8,135.4,157.7,
90,속초,Nov-17,7.8,12.3,41.2,218.5,
90,속초,Dec-17,0.7,4.7,9.9,230.3,
90,속초,Jan-18,-1.4,2.8,3.9,214.7,
90,속초,Feb-18,-0.5,3.9,54.4,218.5,
90,속초,Mar-18,8,12.5,55,171.2,
90,속초,Apr-18,13,18.8,141.7,227.6,
90,속초,May-18,15.9,20.7,123.6,186.4,
90,속초,Jun-18,21.3,25.9,46.5,208.8,
90,속초,Jul-18,25,28.7,185.4,209.3,
90,속초,Aug-18,25.6,29.2,625,185.3,
90,속초,Sep-18,20,23.8,66.1,196.1,
90,속초,Oct-18,13.5,17.9,257.6,229.5,
90,속초,Nov-18,9.2,13.3,207.4,165.7,
90,속초,Dec-18,1.6,5.8,10.4,208,
90,속초,Jan-19,1.7,6.3,8.7,232.1,
90,속초,Feb-19,2.5,6.5,27.6,215.2,
90,속초,Mar-19,8.2,13.1,44.4,233.1,
90,속초,Apr-19,11.9,16.6,80.9,230.5,
90,속초,May-19,19.8,25,5.7,296.2,
90,속초,Jun-19,20,24.1,97.8,224.8,
90,속초,Jul-19,24.7,28,234.4,196,
90,속초,Aug-19,25.7,29.4,293.5,230.7,
90,속초,Sep-19,20.9,24.7,209.9,145.2,
90,속초,Oct-19,16.1,20,185.5,157.7,
90,속초,Nov-19,9.4,13.9,157.3,186.9,
90,속초,Dec-19,4.2,8.4,9.8,194.7,
90,속초,Jan-20,3.4,7.2,148.1,163.3,
90,속초,Feb-20,4.1,8,55.8,194.1,
90,속초,Mar-20,7.9,12.6,38,263.7,
90,속초,Apr-20,11.3,16.1,38.4,256,
90,속초,May-20,17.1,21.6,245.1,218.5,
90,속초,Jun-20,22.2,26.4,271.9,238.7,
90,속초,Jul-20,21.6,24.7,374.7,168.5,
90,속초,Aug-20,25.7,29.6,411.3,128.4,
90,속초,Sep-20,20.1,23.8,482.8,152.5,
90,속초,Oct-20,14.3,19,0,231.3,
90,속초,Nov-20,10,14.4,19.2,204.5,
90,속초,Dec-20,1.8,6,0.5,228.4,
90,속초,Jan-21,-1.2,2.9,0,200.4,
90,속초,Feb-21,3.1,7.7,5,214.2,
90,속초,Mar-21,8,12.6,104.2,209,
90,속초,Apr-21,12.3,16.6,97.2,228.4,
90,속초,May-21,16.7,21.5,154.9,239.6,
90,속초,Jun-21,20.3,23.8,43.8,185.7,
90,속초,Jul-21,25.5,29.3,104.1,270,
90,속초,Aug-21,24.4,28,247.1,133,
90,속초,Sep-21,20.9,24.7,141.6,195.8,
90,속초,Oct-21,15.5,20,216.9,174,
90,속초,Nov-21,9.9,14.4,16.2,208.2,
90,속초,Dec-21,2.8,7.2,68.7,219.8,
90,속초,Jan-22,-0.6,3,3.6,227.2,
90,속초,Feb-22,0.3,4.3,11.1,243.8,
90,속초,Mar-22,7.1,11.3,114.5,189.4,
90,속초,Apr-22,14.2,19.1,33.5,269,
90,속초,May-22,18.5,23.7,9.1,312.7,
90,속초,Jun-22,20.9,24.7,248.7,169.6,
90,속초,Jul-22,24.3,27.7,213.1,135.5,
90,속초,Aug-22,24.6,28.4,323.7,151.1,0
90,속초,Sep-22,20.3,24.8,263.8,203.7,
90,속초,Oct-22,13.9,18.2,377.1,153.8,
90,속초,Nov-22,11,16,38.4,198.8,
90,속초,Dec-22,-0.2,4.1,0.7,233.5,
90,속초,Jan-23,0.2,4.6,94.7,215.7,
90,속초,Feb-23,2.7,6.6,43.4,186.6,
90,속초,Mar-23,9.3,13.4,10.1,224,
90,속초,Apr-23,12.6,17.4,57,212.2,
90,속초,May-23,17,21.8,81,232.6,
90,속초,Jun-23,21.9,26.2,200.1,244.9,
90,속초,Jul-23,25.8,30,108.2,184.5,
90,속초,Aug-23,24.7,28,669.6,121.9,
90,속초,Sep-23,21.7,25.1,208.2,156.6,
90,속초,Oct-23,16.4,21.2,31.4,218.1,
90,속초,Nov-23,8.8,13.6,60.1,208.7,
90,속초,Dec-23,2.3,5.9,205,174,
90,속초,Jan-24,0.6,4.6,11.6,203.4,
90,속초,Feb-24,1.9,5.7,125.7,109.7,
90,속초,Mar-24,5.7,10,58.6,212.9,
90,속초,Apr-24,13.9,18.4,63.4,195.2,211.45
90,속초,May-24,17.8,22.7,63.4,253.2,646.8
90,속초,Jun-24,22.3,26.1,133.8,279.7,687.49
90,속초,Jul-24,26.8,30.3,109.3,150.5,498.29
90,속초,Aug-24,27.6,31.2,46.4,229,588.88
90,속초,Sep-24,22.1,25.3,457.9,114.2,336.95
90,속초,Oct-24,16.1,20.2,143.2,131.8,291.84
90,속초,Nov-24,10.8,15.2,17.6,169,269.69
90,속초,Dec-24,3.1,7.2,3.2,222.3,269.29
93,북춘천,Oct-16,14.1,20.9,112.1,185.3,381.67
93,북춘천,Nov-16,5.1,11.2,13.2,147.4,259.88
93,북춘천,Dec-16,-0.2,5.3,83.1,142.3,204.42
93,북춘천,Jan-17,-3.4,3.3,15.9,204.2,286.3
93,북춘천,Feb-17,-1.5,5.4,11,214.9,356.79
93,북춘천,Mar-17,4.6,12.2,17.9,212.4,436.28
93,북춘천,Apr-17,13.2,21,54.1,257.3,560.07
93,북춘천,May-17,18.6,26.2,25.5,280.1,645.7
93,북춘천,Jun-17,22.3,29.6,38.1,271.2,656.82
93,북춘천,Jul-17,26.3,30.7,477.8,126.4,421.28
93,북춘천,Aug-17,24.4,29.6,376.3,150.3,438.14
93,북춘천,Sep-17,19.1,26.5,33.8,220.3,480.31
93,북춘천,Oct-17,13.5,21,42.6,196.9,366.06
93,북춘천,Nov-17,3.2,9.9,15.9,185.3,267.52
93,북춘천,Dec-17,-4.3,1.5,24.5,183.8,248.12
93,북춘천,Jan-18,-6,0.6,6.5,203,297.61
93,북춘천,Feb-18,-3.4,3.6,33,214.2,345.45
93,북춘천,Mar-18,7,13.8,32,204.3,434.45
93,북춘천,Apr-18,12,19.5,117.2,218.7,505.89
93,북춘천,May-18,17.2,23.9,200.5,233.2,577.58
93,북춘천,Jun-18,22.6,29.3,88.6,252.8,628.31
93,북춘천,Jul-18,26.3,31.8,189.7,243.9,520.07
93,북춘천,Aug-18,26.9,32.9,354.6,223,464.48
93,북춘천,Sep-18,19.1,25.7,63,205.5,397.14
93,북춘천,Oct-18,10.3,17.9,102.6,200.3,314.48
93,북춘천,Nov-18,5.1,12.1,56.9,148.2,206.42
93,북춘천,Dec-18,-3.2,3.4,17.3,194.9,216.07
93,북춘천,Jan-19,-3.9,4.2,0.2,228.9,251.44
93,북춘천,Feb-19,-0.6,5.9,27.5,201.8,324.29
93,북춘천,Mar-19,5,12.3,30.9,199.4,431.23
93,북춘천,Apr-19,10.6,18.3,49.7,205.8,525.84
93,북춘천,May-19,18.3,26.6,31.4,298.6,742.98
93,북춘천,Jun-19,21.4,27.8,88.7,235,652.98
93,북춘천,Jul-19,25,29.9,252.2,140.5,494.97
93,북춘천,Aug-19,25.6,31.2,186.6,220.9,583.7
93,북춘천,Sep-19,20.7,26.5,147.9,138.1,395.49
93,북춘천,Oct-19,14,20.7,48.4,189.2,372.17
93,북춘천,Nov-19,4.9,11.9,57.8,167.3,272.42
93,북춘천,Dec-19,-0.7,4.3,10.5,143.2,217.32
93,북춘천,Jan-20,-0.7,5.6,55.9,187.4,278.76
93,북춘천,Feb-20,0.7,6.9,35.3,183.5,331.85
93,북춘천,Mar-20,6.1,13.5,13.7,238.5,509.82
93,북춘천,Apr-20,9.7,17.4,17,257.6,605.88
93,북춘천,May-20,17.4,23.7,122.2,193.7,583.23
93,북춘천,Jun-20,23.5,29.5,79.1,225.2,650.42
93,북춘천,Jul-20,23.3,27.9,183.6,140.4,511.36
93,북춘천,Aug-20,25.6,29.6,821.2,92.3,356.98
93,북춘천,Sep-20,19,24.9,153.1,162.6,421.25
93,북춘천,Oct-20,10.9,19.1,0.3,221.5,420.29
93,북춘천,Nov-20,5.3,12.1,75.2,181.1,287.49
93,북춘천,Dec-20,-3.6,2.9,4.8,197.9,268.95
93,북춘천,Jan-21,-5.7,0.7,14.3,181.6,274.71
93,북춘천,Feb-21,0.4,7.6,5.6,210.7,366.24
93,북춘천,Mar-21,7.1,14.3,100.1,217.1,471.84
93,북춘천,Apr-21,12.4,19.5,110.2,225.5,564.07
93,북춘천,May-21,15.6,22.1,159.3,190.3,569.66
93,북춘천,Jun-21,21.6,27.5,128.1,186.6,599.05
93,북춘천,Jul-21,26.7,32.7,202,251.7,697.93
93,북춘천,Aug-21,24.3,29.3,122.5,154,480.64
93,북춘천,Sep-21,20.7,26.4,103.7,188.6,464.07
93,북춘천,Oct-21,13.1,19.6,64.4,160.2,342.76
93,북춘천,Nov-21,5.3,12.2,49.8,163.1,271.29
93,북춘천,Dec-21,-2.2,3.8,5.2,173.8,252.38
93,북춘천,Jan-22,-5.1,1.8,1.9,219.2,314.35
93,북춘천,Feb-22,-3.5,3.7,6.3,224.1,380.96
93,북춘천,Mar-22,5.7,12.5,88.3,195.6,427.61
93,북춘천,Apr-22,13,21.2,27.7,264.2,620.33
93,북춘천,May-22,17.2,25,8.1,281.3,716.21
93,북춘천,Jun-22,21.9,27,386.5,142.7,497.81
93,북춘천,Jul-22,26,31.1,223.8,174.6,582.61
93,북춘천,Aug-22,24.5,28.8,418.4,121.9,421.2
93,북춘천,Sep-22,19.8,26.5,239,207,496.4
93,북춘천,Oct-22,11.8,18.6,116.1,186.3,382.09
93,북춘천,Nov-22,6.5,14,64,175.7,275.44
93,북춘천,Dec-22,-6.1,0.1,10.7,190.6,275.54
93,북춘천,Jan-23,-5.2,1.2,43.8,183.1,286.03
93,북춘천,Feb-23,-0.5,6.5,1.1,216.2,355.77
93,북춘천,Mar-23,7.4,16.3,8.4,272.6,513.1
93,북춘천,Apr-23,12.1,18.6,95.7,208.2,493.38
93,북춘천,May-23,17.7,25,112.4,281.4,663.67
93,북춘천,Jun-23,22.4,28.4,280.7,235,628.49
93,북춘천,Jul-23,26,30.9,318.1,192.9,541.12
93,북춘천,Aug-23,26.1,30.9,203.6,202.8,513.58
93,북춘천,Sep-23,21.8,27.2,119.5,183.5,442.32
93,북춘천,Oct-23,12.3,19.6,25.9,195.9,380.93
93,북춘천,Nov-23,4.6,10.4,80.3,181.9,275.53
93,북춘천,Dec-23,-1.6,3.9,77.3,164.6,226.19
93,북춘천,Jan-24,-2.8,2.7,8.9,189.9,289.42
93,북춘천,Feb-24,1.8,7.3,45,142.7,277.25
93,북춘천,Mar-24,4.9,11.9,40.9,219.4,456.76
93,북춘천,Apr-24,14.7,22.2,27.6,235.5,548.13
93,북춘천,May-24,17.2,24.4,126.9,260.6,661.55
93,북춘천,Jun-24,23.3,30.3,124.5,299.6,717.25
93,북춘천,Jul-24,25.9,30,411.1,149.1,457.72
93,북춘천,Aug-24,28,33.5,92.7,257.3,600.72
93,북춘천,Sep-24,23.2,28.6,184.9,191.8,438.4
93,북춘천,Oct-24,14,20.1,68.5,165.7,343.41
93,북춘천,Nov-24,7.1,14.3,27.7,201.3,306
93,북춘천,Dec-24,-2.4,4,3.6,209.7,282.07
95,철원,Jan-15,-4,2.1,17,185.2,
95,철원,Feb-15,-1.3,4.6,24,172.8,
95,철원,Mar-15,4,11.6,7.8,266.5,
95,철원,Apr-15,11.3,18.5,98.3,227.8,
95,철원,May-15,17.6,24.7,35.8,298,
95,철원,Jun-15,21.6,28,79.6,274.5,
95,철원,Jul-15,23.8,28.7,458,197.7,
95,철원,Aug-15,24.1,29.7,140.6,246.5,
95,철원,Sep-15,18.9,26.2,32.7,256.6,
95,철원,Oct-15,12.3,19.7,64,230.4,
95,철원,Nov-15,6.6,11.5,111.5,101.1,
95,철원,Dec-15,-1.2,4.4,25.6,168,
95,철원,Jan-16,-6,0,0.9,187.6,
95,철원,Feb-16,-2.2,4.1,54.1,186.1,
95,철원,Mar-16,4.7,11.7,45.2,236.3,
95,철원,Apr-16,12.6,20,88.8,218.2,
95,철원,May-16,17.7,24.6,149.9,248.1,
95,철원,Jun-16,22.1,28,27.1,230.1,
95,철원,Jul-16,24.1,28.8,460.5,153.9,
95,철원,Aug-16,25.3,31,63.7,230.5,
95,철원,Sep-16,20.2,26.7,32.2,202.5,
95,철원,Oct-16,13.4,19.9,173.1,185.7,
95,철원,Nov-16,4.3,10.2,15.6,142.8,
95,철원,Dec-16,-1.4,4.3,69.8,135.1,
95,철원,Jan-17,-4.4,2,14.5,196.9,
95,철원,Feb-17,-2.6,3.7,9.8,201.3,
95,철원,Mar-17,3.5,10.8,21.5,216,
95,철원,Apr-17,12.1,19.3,63.6,248.1,
95,철원,May-17,17.7,24.4,36,277.6,
95,철원,Jun-17,21.3,27.7,74.2,272.3,
95,철원,Jul-17,25.5,29.7,575.2,119.9,
95,철원,Aug-17,23.6,28.5,354.9,145.9,
95,철원,Sep-17,18.8,25.8,26.6,171.6,
95,철원,Oct-17,12.8,20.2,10.8,195.4,
95,철원,Nov-17,2.7,8.7,33.5,163.4,
95,철원,Dec-17,-4.9,0.4,12.8,171.3,
95,철원,Jan-18,-7.3,-1.2,7.9,185.7,
95,철원,Feb-18,-4.4,2.1,14.4,206.4,
95,철원,Mar-18,6.2,12.8,33.6,202.7,
95,철원,Apr-18,11.2,17.9,139.4,203.6,
95,철원,May-18,16.8,22.8,263.1,231.4,
95,철원,Jun-18,21.7,27.8,122.3,232.2,
95,철원,Jul-18,25.4,30.4,174.2,234.6,
95,철원,Aug-18,26.3,31.8,527,235.2,
95,철원,Sep-18,18.8,25.2,55.4,206.9,
95,철원,Oct-18,9.9,17.2,74.8,217.6,
95,철원,Nov-18,4.5,11.4,60.2,159,
95,철원,Dec-18,-4,2.6,8.3,190.8,
95,철원,Jan-19,-4.9,2.6,0,208.3,
95,철원,Feb-19,-1.7,5,20.6,205.6,196.2
95,철원,Mar-19,4.5,11.3,23.3,230.7,449.07
95,철원,Apr-19,9.9,17.2,28,236.2,533.62
95,철원,May-19,17.8,25.3,26.4,340,784.83
95,철원,Jun-19,20.9,26.9,57.1,284.6,698.73
95,철원,Jul-19,24.2,29.1,305.3,211.8,532.65
95,철원,Aug-19,24.8,30.1,156.9,267.7,633.22
95,철원,Sep-19,20,25.8,199.1,201.4,448.43
95,철원,Oct-19,13.7,20.3,30.8,227.7,413.23
95,철원,Nov-19,4.5,11.9,53,191.4,276.59
95,철원,Dec-19,-1.1,4,20,149.1,204.42
95,철원,Jan-20,-1.2,4.8,79.7,179.8,254.72
95,철원,Feb-20,0,6,46.8,180.2,295.28
95,철원,Mar-20,5.5,12.6,16.9,258.7,496.47
95,철원,Apr-20,9.1,16.4,20.9,288.8,600.33
95,철원,May-20,16.9,22.6,161.7,241.9,564.06
95,철원,Jun-20,22.5,28.2,92.2,267.3,644.17
95,철원,Jul-20,22.8,27.5,184.5,210.6,515.01
95,철원,Aug-20,25.1,28.7,903,136.8,343.97
95,철원,Sep-20,18.8,24.4,166,213.3,429.74
95,철원,Oct-20,10.9,18.5,4.1,244,425.3
95,철원,Nov-20,5,11.4,72.3,182.4,271.99
95,철원,Dec-20,-3.9,2.1,1.2,193.4,257.41
95,철원,Jan-21,-5.9,0.7,7.6,189.5,261.89
95,철원,Feb-21,0.1,6.8,4.8,203,337.51
95,철원,Mar-21,6.2,13.4,103.7,240.7,469.76
95,철원,Apr-21,12,18.7,99.3,262,567.05
95,철원,May-21,15.5,21.8,199.1,247.5,590.74
95,철원,Jun-21,21.2,26.8,67.6,247.4,615.72
95,철원,Jul-21,26.1,31.7,117.2,289.1,691.79
95,철원,Aug-21,23.6,28.7,219.6,211.3,486.91
95,철원,Sep-21,20.3,26,105.9,231.6,476.77
95,철원,Oct-21,12.7,19.2,128.3,196.1,355.35
95,철원,Nov-21,5.3,12,57.3,174.1,261.99
95,철원,Dec-21,-2.1,3.6,4.9,177.3,236.21
95,철원,Jan-22,-5.8,1.3,2.5,211,297.08
95,철원,Feb-22,-3.9,2.8,8.9,219.4,354.47
95,철원,Mar-22,5.2,11.6,90.9,219.7,427.41
95,철원,Apr-22,12.6,19.9,17.9,281.5,623.21
95,철원,May-22,16.7,23.8,14.5,327.7,751.88
95,철원,Jun-22,21.2,25.8,437.2,195.6,492.74
95,철원,Jul-22,25.2,29.9,247.6,227.5,573.17
95,철원,Aug-22,24,28.2,420.4,176.3,455.87
95,철원,Sep-22,19.4,25.9,257.4,236.3,500.53
95,철원,Oct-22,11.4,18.3,162.1,211.6,383.41
95,철원,Nov-22,6.6,13.9,85.2,179.3,271.46
95,철원,Dec-22,-6.8,-0.6,8.1,197.1,255.07
95,철원,Jan-23,-5.8,0.7,42.2,177.1,267.31
95,철원,Feb-23,-0.9,5.7,0,203.1,341.31
95,철원,Mar-23,6.7,15.1,12.5,257.9,495.74
95,철원,Apr-23,11.7,17.9,97.5,213.9,493.02
95,철원,May-23,17.4,24,161.9,280.8,668.51
95,철원,Jun-23,21.7,27.3,220.4,234.1,619.53
95,철원,Jul-23,25.4,30.1,383.4,202.3,565.94
95,철원,Aug-23,25.1,29.8,241.6,198.5,517.99
95,철원,Sep-23,21.3,26.8,102.9,192.8,450.16
95,철원,Oct-23,12.4,19.7,30.5,229.3,418.2
95,철원,Nov-23,4.3,9.8,104.9,161,263.88
95,철원,Dec-23,-1.9,3.3,69.4,148.4,208.16
95,철원,Jan-24,-3.3,2.1,7.2,171.7,275.31
95,철원,Feb-24,1.2,6.7,48.2,146,270.93
95,철원,Mar-24,4.4,11,42.4,221.1,456.37
95,철원,Apr-24,14.2,21.7,17.9,240.7,553.23
95,철원,May-24,16.6,23,156.5,269.3,669.74
95,철원,Jun-24,22.7,29.2,98.1,298.9,735.4
95,철원,Jul-24,25.3,29.1,759.5,141.2,448.01
95,철원,Aug-24,27.2,32.5,232.9,243.8,597.5
95,철원,Sep-24,22.6,27.9,179.2,192.8,440
95,철원,Oct-24,13.5,19.9,66.7,167.1,338.82
95,철원,Nov-24,6.5,13.8,29.8,181.9,286.9
95,철원,Dec-24,-3.1,3.2,7.3,202.2,276.26
98,동두천,Jan-15,-2.3,4,17.3,186.5,
98,동두천,Feb-15,0.1,6.2,23.4,171.1,
98,동두천,Mar-15,5.5,13.6,8.4,262.3,0
98,동두천,Apr-15,12.7,20.2,82.5,212.3,
98,동두천,May-15,18.3,26,32.8,284.1,
98,동두천,Jun-15,22.7,29.7,70.1,253.3,
98,동두천,Jul-15,24.6,29.7,348.7,169.6,
98,동두천,Aug-15,24.8,30.5,120.6,210.2,
98,동두천,Sep-15,20.4,27.4,60.5,255.2,
98,동두천,Oct-15,13.9,21.2,83.1,223.5,
98,동두천,Nov-15,8,13.1,114.6,92.7,
98,동두천,Dec-15,0.5,6.9,26.5,162.3,
98,동두천,Jan-16,-4.1,2.4,1.3,195.4,
98,동두천,Feb-16,-0.4,6.4,47.8,184.3,
98,동두천,Mar-16,6.5,14.2,53.3,243.8,
98,동두천,Apr-16,13.8,22.2,86.5,217.4,
98,동두천,May-16,18.5,26.3,151.8,266.8,
98,동두천,Jun-16,22.7,29.3,29.5,228.9,
98,동두천,Jul-16,25.1,30.2,366.3,156.9,
98,동두천,Aug-16,26.5,32.5,70.4,231.1,
98,동두천,Sep-16,21.6,28.2,39.6,196.5,
98,동두천,Oct-16,14.6,21.5,154.9,185.2,
98,동두천,Nov-16,6.1,12.2,18.1,155.2,
98,동두천,Dec-16,0.6,6.5,67.7,150.6,
98,동두천,Jan-17,-2.5,4.1,15.5,205.4,
98,동두천,Feb-17,-0.8,5.7,15.1,207.9,
98,동두천,Mar-17,5.6,13.7,15.1,237,
98,동두천,Apr-17,13.2,21.3,67.5,252.9,
98,동두천,May-17,18.4,26.2,22.7,289.6,
98,동두천,Jun-17,22.2,29.7,50.5,251.8,
98,동두천,Jul-17,26,30.5,376.3,119.6,
98,동두천,Aug-17,24.5,29.8,334.6,154.4,
98,동두천,Sep-17,20.1,27.2,25.3,229.5,
98,동두천,Oct-17,14.1,21.7,18.5,152.9,
98,동두천,Nov-17,4.2,11,19,160.1,
98,동두천,Dec-17,-3.3,2.2,29.6,185.3,
98,동두천,Jan-18,-5.4,0.8,7,198,
98,동두천,Feb-18,-2.6,4.4,30.7,215,
98,동두천,Mar-18,7.4,14.6,38.7,209,
98,동두천,Apr-18,12.4,19.9,125.9,215.9,
98,동두천,May-18,17.4,24.1,242.9,242.6,
98,동두천,Jun-18,22.1,28.7,193.6,237,
98,동두천,Jul-18,26.3,31.5,216.9,240.5,
98,동두천,Aug-18,27.2,33.3,407.4,226.3,
98,동두천,Sep-18,19.8,26.2,56.5,210,
98,동두천,Oct-18,11.4,18.6,107.9,230.7,
98,동두천,Nov-18,6.4,13.5,61.5,166.6,
98,동두천,Dec-18,-2,4.6,11,198.7,
98,동두천,Jan-19,-2.4,4.9,0.4,212.7,
98,동두천,Feb-19,-0.3,6.3,26.7,202,
98,동두천,Mar-19,5.7,12.9,32.5,221.6,
98,동두천,Apr-19,11,18.3,34.8,219.2,
98,동두천,May-19,18.3,26.2,34.5,323,
98,동두천,Jun-19,21.1,27.3,63.2,237.8,
98,동두천,Jul-19,24.6,29.5,329.8,151.8,
98,동두천,Aug-19,25.4,30.5,135.2,249.4,
98,동두천,Sep-19,20.8,26.2,247.5,179.5,
98,동두천,Oct-19,14.4,21,38.2,223.8,
98,동두천,Nov-19,5.7,12.8,58.1,194.5,
98,동두천,Dec-19,0,5,27.2,148,
98,동두천,Jan-20,0,5.9,71.4,186.6,
98,동두천,Feb-20,1.2,7.6,54.8,179.4,
98,동두천,Mar-20,6.7,14.4,19.7,254.1,
98,동두천,Apr-20,10.2,17.9,19.5,280.7,
98,동두천,May-20,17.1,23.7,134.3,205.7,
98,동두천,Jun-20,22.8,28.8,128.6,245.1,
98,동두천,Jul-20,23,27.5,248,167.1,
98,동두천,Aug-20,25.3,28.8,757.8,101.4,
98,동두천,Sep-20,19.5,25,130.4,208.2,
98,동두천,Oct-20,12,19.5,2.9,235.8,
98,동두천,Nov-20,6.3,12.8,73.9,177.6,
98,동두천,Dec-20,-2.2,3.7,0.6,198.6,
98,동두천,Jan-21,-4.2,2.1,15.4,188.8,
98,동두천,Feb-21,1.3,8.4,8.5,189.6,
98,동두천,Mar-21,7.7,15.5,107.8,238.4,
98,동두천,Apr-21,13,20.3,99.3,239,
98,동두천,May-21,15.8,22.2,228.8,210.8,
98,동두천,Jun-21,21.3,27,103.3,207.7,
98,동두천,Jul-21,26.4,31.7,100.2,237.8,
98,동두천,Aug-21,24.3,29.2,140.6,163.4,
98,동두천,Sep-21,20.8,26.3,100.6,203.5,
98,동두천,Oct-21,13.7,19.9,71.2,186.5,261.64
98,동두천,Nov-21,6.4,13.3,51.6,166.8,258.11
98,동두천,Dec-21,-1.1,5,8.3,185.1,248.82
98,동두천,Jan-22,-3.9,2.6,6.5,214.7,291.73
98,동두천,Feb-22,-2.6,4.4,7.1,220,358.65
98,동두천,Mar-22,6.4,13.6,91,201.9,420.72
98,동두천,Apr-22,13.6,21.7,17.8,262.9,597.77
98,동두천,May-22,17.4,25.2,16.4,305.2,715.03
98,동두천,Jun-22,21.5,26.6,522.8,162.2,457.51
98,동두천,Jul-22,25.8,30.4,302.7,189,534.41
98,동두천,Aug-22,24.2,28.2,506.8,143.4,419.33
98,동두천,Sep-22,20,26.3,204.5,220,483.74
98,동두천,Oct-22,12.3,19.2,146.3,204.7,390.33
98,동두천,Nov-22,8,15.2,88.7,177.6,275.56
98,동두천,Dec-22,-4.9,1,12,198.8,260.87
98,동두천,Jan-23,-3.7,2.2,49.8,186.5,273.05
98,동두천,Feb-23,0.6,7.4,0.5,197,344.61
98,동두천,Mar-23,8.3,16.9,14.4,251.2,490.39
98,동두천,Apr-23,12.7,19.4,94.6,198.9,478.86
98,동두천,May-23,18,25,158.7,244.2,640.74
98,동두천,Jun-23,22,27.4,218.4,193,575.76
98,동두천,Jul-23,25.6,29.8,355.6,164.6,509.53
98,동두천,Aug-23,25.6,30.1,255.9,161.6,470.93
98,동두천,Sep-23,21.8,27,56.3,165.9,429.03
98,동두천,Oct-23,13.6,20.5,38.5,206.3,397.81
98,동두천,Nov-23,5.4,11.2,93.4,161.7,265
98,동두천,Dec-23,-0.5,4.8,76.6,151.8,221.07
98,동두천,Jan-24,-2.1,3.1,13.2,165.2,265.52
98,동두천,Feb-24,2.4,8,58.2,130,262.67
98,동두천,Mar-24,5.7,12.6,38,209.1,451.79
98,동두천,Apr-24,15.2,23.2,22.2,221.6,530.61
98,동두천,May-24,17.2,23.5,140.6,237.3,634.12
98,동두천,Jun-24,23,29.8,96.7,271.5,700.97
98,동두천,Jul-24,25.6,29.1,378.2,98.5,402.69
98,동두천,Aug-24,27.6,32.5,146.5,201.1,538.98
98,동두천,Sep-24,23.4,28.6,178,163.1,415.65
98,동두천,Oct-24,14.4,20.7,57.2,157.7,352.74
98,동두천,Nov-24,7.9,14.9,34.2,167.5,284.53
98,동두천,Dec-24,-1.4,4.7,7.6,193.5,273.57
99,파주,Jan-15,-3.1,3.1,20.9,198.8,
99,파주,Feb-15,-0.7,5.6,22.3,181.7,
99,파주,Mar-15,4.1,11.9,7.7,261.8,
99,파주,Apr-15,11.8,19.1,63.4,223.3,
99,파주,May-15,17,24.9,26.8,288.7,
99,파주,Jun-15,21.5,28.3,82.8,259.5,
99,파주,Jul-15,24.1,29.2,220.1,198.8,
99,파주,Aug-15,24.5,30.3,33.5,233.8,
99,파주,Sep-15,19.7,26.6,31.8,263.3,
99,파주,Oct-15,13.1,20.6,74.1,230.7,
99,파주,Nov-15,7.4,12.4,111.6,99.3,
99,파주,Dec-15,-0.2,5.8,21.2,183.3,
99,파주,Jan-16,-5,1.2,1,203.1,
99,파주,Feb-16,-1.2,5.4,65.9,199.7,
99,파주,Mar-16,5.4,12.5,57.4,250.6,
99,파주,Apr-16,12.6,20.4,89.3,220.5,
99,파주,May-16,17.4,24.8,157.7,264.3,
