지점,년도,복숭아,복숭아,복숭아,복숭아,복숭아,복숭아
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
서울,2022,2022-04-05,5일,2022-04-11,-2일,2022-04-15,-2일
서울,2023,2023-03-29,-2일,2023-04-03,-10일,2023-04-13,-4일
서울,2024,2024-03-28,-3일,2024-04-06,-7일,2024-04-10,-7일
울산,2018,2018-03-23,4일,2018-04-04,4일,2018-04-08, 
울산,2019,2019-03-19,0일,2019-03-25,-6일,2019-03-27, 
울산,2020,2020-03-20,1일,2020-03-25,-6일,2020-03-29, 
울산,2021,2021-03-16,-3일,2021-03-26,-5일,2021-03-29, 
울산,2022,2022-03-26,7일,2022-04-03,3일,2022-04-08, 
울산,2023,2023-03-18,-1일,2023-03-26,-5일,2023-03-28, 
울산,2024,2024-03-17,-2일,2024-03-31,0일,2024-04-04, 
백령도,2018,2018-04-05,-10일,2018-04-16,-15일,2018-04-29, 
백령도,2019,2019-04-01,-14일,2019-04-13,-18일,2019-04-25, 
백령도,2020,2020-03-31,-15일,2020-04-10,-21일,2020-04-21, 
백령도,2021,2021-04-01,-14일,2021-04-20,-11일,2021-04-29, 
백령도,2022,2022-04-09,-6일,2022-04-25,-6일,2022-05-10, 
백령도,2023,2023-03-30,-16일,2023-04-19,-12일,2023-04-27, 
백령도,2024,2024-04-05,-10일,2024-04-18,-13일,2024-04-22, 
인천,2018,2018-04-06,3일,2018-04-14,-3일,2018-04-19,0일
인천,2019,2019-04-08,5일,2019-04-12,-5일,2019-04-17,-2일
인천,2020,2020-03-31,-3일,2020-04-05,-12일,2020-04-08,-11일
인천,2021,2021-03-31,-3일,2021-04-04,-13일,2021-04-08,-11일
인천,2022,2022-04-04,1일,2022-04-15,-2일,2022-04-21,2일
인천,2023,2023-04-03,0일,2023-04-14,-3일,2023-04-20,1일
인천,2024,2024-04-02,-1일,2024-04-12,-5일,2024-04-15,-4일
목포,2018,2018-03-20,-4일,2018-04-02,-5일,2018-04-04,-8일
목포,2019,2019-03-19,-5일,2019-03-31,-7일,2019-04-05,-7일
목포,2020,2020-03-05,-19일,2020-03-25,-13일,2020-03-28,-15일
목포,2021,2021-03-08,-16일,2021-03-26,-12일,2021-03-29,-14일
목포,2022,2022-03-15,-9일,2022-04-01,-6일,2022-04-05,-7일
목포,2023,2023-03-15,-9일,2023-03-29,-9일,2023-04-02,-10일
목포,2024,2024-03-13,-11일,2024-03-29,-9일,2024-04-02,-10일
여수,2018,2018-03-16,1일,2018-03-30,-3일,2018-04-03,-5일
여수,2019,2019-03-07,-8일,2019-03-27,-6일,2019-03-31,-8일
